content,score
"Driver Atas Nama Paulus Buaton Nainggolan, Berani sekali dia Gelapin Pesanan Pembeli, Emang Gk seberapa, Cuma Itu dah Bisa Nunjukin bahwa Maxim ini kurang aman, Soalnya Buat pengaduan aja biar dia di blokir aja dari maxim gk.ada, setidaknya orang kyk gini jangan di pelihara, Biar si blok saja , Biar tidak.ada korban berikutnya",1.0
Tolong...untuk map titik pejemputan ataw tujuan di buat yg benar...sering map hilang yg sudah diberi tanda..padahal sebelumnya sudah ada...,1.0
"gak nyaman pake app ini,tadi sy pesan, terus driver agak lama jadi saya cancel  driver malah maki maki.gimana sih attitude nya! tolong dong di perbaiki,,,",1.0
Paket saya ga nyampe driver di chat malah ga ngaku kecewa,1.0
"Sumpah masih ga bisa di andelin bgt, komunkasi nya susah pula sama driver ... Giliran app ga bis adi buka sama sekali driver jauh bgt lokasi minta di tunggu dengan bahasa bawa anak istri yv ga bisa makan masa customer yg di salahin sih !!! Aplikasi yg ngehank ga jelas bukan karna internet pula",1.0
"Notif gak jls slalu muncul buat emosi jiwa , driver sudh slsai antar barang tp di aplikasi smpe 5jam baru slsai diantar, dan slalu muncul notif gagal mncari driver, pdahal driver udh dpat dari td tp notif slalu mncuk gak jelas , rasanya pengen banting hp",1.0
"Jelek parah, gua kasian ama driver nya, yg masuk di app 1, driver nelfon gua ada 6, yg nyampe lokasi 1, error, gk bisa hub driver, krn error terus pas klik driver nya",1.0
saya pesen pijat di maxim.kurang baik pelayanan nya .masa mau oijit gak bawa minyak .dan di tanggung oleh yang mau di pijit. dan tolong kasih penjelasan lengkap di aplikasi nya. biar jelas.,1.0
"Di kota kendari, pengemudi maxim Semakin kesini semakin jual mahal. Tdk ada yg mau terima pengantaran barang kalu hanya 4 rb. Padahal rutenya dekat sekali. Sombong amat. Yakin sj bakalan redup ini aplikasi kalu begini driver.",1.0
Tolong dong pihak Maxim ya..tadi saya order Maxim mobil buat 4 orang sopir nya malah nyuruh saya naik angkot ajh.sopan kh begitu sama costumer!!😠,1.0
Parah bngt pertama saya di Bawak kencang kencang sama driver Trus awalnya harga maximnya Rp 14.2 tiba tiba berubah jadi Rp25.7 tolong ini lebih baik lagi saya merasa kayak di bohongi,1.0
"nyari driver lama bs 20 menit bru dpt, org butuh cepat mau kerja, lelet",1.0
Aplikasi sangat merugikan percuma saya download setiap pesen gapernah ada yg ngambil car nya,1.0
"Tagihan Akhir berubah dari 100k menjadi 146.5k, kasian untuk driver kalau memang penumpang membayar tidak sesuai argo dan driver tetap mendapat potongan akhir sesuai harga akhir",1.0
"Aplikasi apaan ini , sangat sangat sangattttttttt jelek ga pantes buat di unduh. Lagi coba-coba buat liat-liat tau-tau udah ada orderan berjalan, lah gua merasa ga pesan sama sekali. Gua mau cancel ga bisa-bisa. Lagian tuh kalau mau order harus ada instruksi orderan terlebih dahulu seperti pilih tujuan dan titik penjemputan, terus ada pilihan jenis kendaraan yg mau di pesan.. lebih bagusan aplikasi grab / gojek. Nyesel gua udah unduh dan daftar akun maxim.",1.0
"Murah sih, tapi maps busuk banget, nyari titik aja susah, auto uninstall, bye",1.0
"kenapa ya tiap saya mau chat ke driver gabisa Mulu, suka ke kembaliin terus dan akhirnya jdi susah komunikasi sama driver , tiap saya uninstall trus instal lagi terus aja seperti itu tidak ada perubahan jdi menghambat",1.0
"map nya gajelas ,,susah cari titik tolong untuk map diperbaiki lagi ,makasih",1.0
"Buat yg perempuan hati2,apalagi pesan maxim taxi nya,kmren saya naik maxim taxi dpt driver,saya difoto2 Saya udh lapor kepihak maximnya Tpi belum tau sudah di tegur apa belum driver. Tolong pihak maxim suruh driver hapus foto saya. driver bernama ryanaldi Nopol B2325SKR.",1.0
Pengemudinya banyak yang kurang ajar Mentang2 tidak ada ulasan/penilaian bintang mereka semaunya aja,1.0
"Aplikasinya tolong di perbaiki ya, saya belum masukin tujuanya ke mana kok malah mencet pesen sendiri, habis itu aplikasinya error gabisa di cancel, akhirnya di cancel sama bapaknya ojol,  malah pesen lagi orang lain, tetep ga bisa di cancel lagi 😂, mending maxim jualan wajan aja deh.",1.0
Padahal baru di update  malah tambah banyak bug aplikasi nya,1.0
"Parah bgt... Ga ngerti gmna itung2n tarif nya..awal pesen 66rb knp pas turun jd 195rb..shock sii kaget..kapok,,cukup pertama dan terakhir make aplikasi ini..hd perhatian deh buat yg mau pake aplikasi ini..",1.0
Smua driver car palembang nggak mau antar jika harga sesuay aplikasih.,1.0
"Aplikasi Maxim Kurang Bagus Saat Pencarian Lokasi Pengantaran, Pencarian Alamatnya Sangat Lamaa Sehinggah Kita Terlambat ketujuan,, Mohon Di Benahi,,,",1.0
Cuma pengen nanya? Gunanya pilihan Food dan delivery dalam aplikasi apa ya? Kenapa susah bener buat dapat driver untuk Food dan delivery? Sementara untuk driver ride bisa dengan mudah dapatnya. Mohon dong ditinjau,1.0
Pas udah pesan mo buka pesanan error mulu gak bs buka profile pengemudi,1.0
"Sudah sering pesen tpi gk pernah dapet promo., dan aplikasi nya lemot tolong di perbaiki lgi yaa",1.0
Tolong kepada driver di kota banjarmasin kalau emang gamau ambil orderan jangan di ambil saya menunggu sampe 30 menit ternyata minta cancel di chat gadi respon Beberapa kali Saya order juga bayar ko Dan saya faham orderan angka nya di bawah 20rb tpi biasa saya pasin kalau dpt Cuma jangan seperti itu Khusus maxxim car,1.0
Kecewa ma aplikasi ini gada attitudenya ngomong nya ngegas mulu driver,1.0
Kalo mau ubah orderan Susah banget di cancel.. Trus kalo cari driver lamaanya ke bangetan👎,1.0
tolong perbaiki driver nya ya..soalnya di tempat saya susah kau mau order..jarang2 driver nya,1.0
"Tolong untuk kedepannya di perbaiki perihal pemesanan fiktif. Saya tidak memesan di aplikasi maxim tapi tiba tiba ada telpon dan orderan yang saya tidak pesan, dan saat ingin saya cancel tidak bisa dan teksnya di isi nama orang tidak jelas. Tolong di tinjau lebih baik kedepannya. Terimakasih !",1.0
"Mohon di tindak tegas untuk mitra Maxim atau driver motor Yg bernama Supandi, dengan motor warna putih nopol B3049UCW karena gaada attitude dan tidak sabaran menunggu hanya beberapa detik saja untuk menunggu pembayaran sudah mempermalukan saya di depan rekan kerja saya dan orng"" kantor apalagi saya baru masuk kerja seharusnya utamakan dulu costumer yg sedang dia antar jangan belum selesai sudah beralasan buru"" menjemput orderan baru mana tidak ramah sama sekali waktu di antar tujuan ke gading",1.0
"Knpa seumur2 saya baru kali ini di antar smpe tujuan dan hrga sudh tercantum,knp di si driver mlah minta nmbah ongkos,dengan alsan bawa anak gk masuk di akal,,tolong tngktkan lgi",1.0
"Apl ini aneh, saya udah berapa kali minta kode Verifikasi terus saja gabisa",1.0
"Aplikasi Maxim sangat JELEK !! Susah dapat driver, dinaikkin harga biar cepat, udah 1 jam driver dekat tapi nggak mau ambil.. akhirnya 2 nomor sudah tidak bisa masuk dan akhirnya aplikasi pun selalu menghubungkan ke layanan.. Bikin rusak HANDPHONE..",1.0
"Barusan pukul 17 30 hari ini , saya order maxim , tapi susah gak ketemu 🤦🏻",1.0
"Driver di manado banyak maunya ,, sering cancel orderan dan sering sekali tidak mau ambil orderan karena harga murah",1.0
Riibet amat sih cara pilih lokasi tujuan nya .. di permudah ajah sama kaya ojek online yang lain nya yang mudah di mengerti,1.0
SEMENJAK DI UPDATE JARINGAN JELEK TRUS PADAHAL BAGUS KECEWA SIHH,1.0
Gangguan terus setiap pesan aplikasi kaya sulit banget padahal sinyal dan kuota ada Tolong kalau mau rame coba di tingkatkan lagi kinerja aplikasinya juga,1.0
SUPIR NYA SOMBONG-SOMBONG menunggu ORDERAN DAPET SAMPE LUMUTAN DULU!!!,1.0
"Aplikasi blm siap sdh di operasikan, kasihan yg dilapangan..mikir pake otak dong, pesen mobil dpt yg jauh banget dari titik jemput.udah gitu driver gk bisa dihubungi via app..preeeet",1.0
"KCEWA , UDAH PESEN BEBERAPAKALI ULANG LAGI ULANG LAGI ASTAGAAA , UDAH DAPET DRIVER JUGA TIBA TIBA NGILANG! PUSING",1.0
Rata2 judes ke penpang gada sopan nya sama penumpang..mentang2 ongkos murah penumpang di galakin aneh tidak bagus,1.0
"Harga pertama saya lihat 24,5 kok tiba sampai tujuan jadi 31,5 jauh bgt bedanya..",1.0
"driver gak ada attitude,, ini terakhir kalinya saya naik maxim😡😡😡",1.0
Database peta minim sekali susah cari lokasi / nama lokasi yang dimaksud.,1.0
Banyak driver nakal ketika saya pesen makanan selalu dinaikan harga 3rb -4rb dan tidak dikasih nota pembayaran!!!!!! Tolong mending diperbaiki seperti app sebelah saja ada harga makanan dll biar tidak terjadi seperti ini lg,1.0
"Maxim banyak tingkah, belum juga mesan malah cancel , dibilang costumer nyusahin , pesan aja belum malah di bilang susah",1.0
"mantap. driver nya jga ramah Tp tolong di perbaiki map nya, kasian castomer dan driver nya, yg td nya smpai tujuan 5mnt ini malah lebih karena map nya ngaco",1.0
"tolong kepada pihak maxim untuk menyeleksi driver. Lebih banyak driver yang agresive dan konfrontatif serta playing victim. saya sudah 3x memakai maxim dan selalu mendapat driver yang emosional. Rute sudah sesuai titik, dan penjelasan tertulis di chat maxim, tapi masih saja beberapa driver menyalahkan rute, dan sebagian meminta ganti rugi karena rute. walaupun sudah sesuai titik dan dijelaskan kembali di chat maxim. tolong di seleksi para driver maxim. Driver motor memiliki bad attitude & kasar",1.0
Saya pesan ayam geprek borobudur ehh malah d belikan ayam geprek mas no memgecewakan sekali,1.0
Info bagaimna cara mendaftar kan usaha di maxim mohon bantuannya,1.0
"Aplikasi nya buruk menurut ku,gimana konsumen mau puas kalau kita salah pesan tapi konsumen nggak bisa cancel sementara driver mau cancel jg nggak bisa. Kalau gitu kan merugikan kedua belah pihak. Kalau takut driver ambil orderan offline nggak kayak gini jg cara nya.. Saya pertama kali mau pake Maxim langsung berubah pikiran.",1.0
Driver menunggu aja 1menitnya seribu . Mahal banget . Tarif awalnya aja murah yg bikin mahal tarif nungguin padahal gada 5menit nungguinnya.. udah gitu ada salah 1 driver yg bnr2 gatau intruksi customer.. sorry dikasi bintang 1 karena mengecewakan dan mahal,1.0
"beberapa kali pesen maxim bbrapa driver nya tidak profesional buang"" waktu terus tiba"" minta cancel, yg tadinya ga telat jd telat😑 kecuali driver yg ini",1.0
"lokasi kurang akurat, untuk pemesanan makanan tolong diperbaiki seperti aplikasi goj*k",1.0
Perbaiki lagi nah apa-apa sih pas share lokasi malah terpental2 ke mana mana,1.0
"Habis diupdate malah error,alamat yg biasa dituju gak tertera",1.0
"Alamat titiknya enakan di gojek sama grab, alamatnya jelas ini mah nggatau kalo rumahnya terpencil walaupun udah lengkap sama RT RW juga ngga nemu, kecewa",1.0
"membaca peta sangat lambat dan hanya sebagian peta saja yang terbuka, entah dr gps saya atau dari aplikaksi anda, tetapi saya membuka google maps, lancar aj",1.0
"Apilikasi diperbaiki lagi dong map tidak sesuai, saat pesan sedang mencari pengemudi, udh dicancel driver muncul kan kasian driver, jngn cuma jual atribut, saya sebagai konsumen samgat kecewa",1.0
Gmn cara Makai nya. Masak saya mau pesen kendaraan mobil nekan alamat gak bisa2. Gmn ini.. tolong kasih tahu??,1.0
aplikasi titik jalan dan titik penjemputtan kok beda ... perbaiki dong titik jalan dan titik penjemputtan nya...,1.0
"harga pertama di aplikasi cuman 20k tapi berubah jadi 30k waktu udah sampe ditujuann ,tolong diperbaiki kasih harga yang jelas untung saya bawa uang lebih",1.0
"Pengemudinya pada kasar2 semua ngomongnya ,ga sopan sama sekali padahal orderan baru batal krn salah transportasi padahal lama pembatalan ga nyampe 1 menit ,tolong buat pengemudinya di ajarin tata krama yg baik",1.0
Aplikasi nya susah buat cari alamat . Dan cuman menunggu beberapa menit aja harus bayar . Mana perjalanan jauh malah tambah mahal .,1.0
"Aplikasi mengherankan...order 20.9k setelah sampai berubah jadi 30k..saya pertama kali pakai Maxim, sangat kecewa sekali..",1.0
saya pernah order tp ga dapet2. sampe akhirnya saya pake aplikasi sebelah baru dapet .  pas udh di perjalanan si driver maxim nelpon kalo dia udh nungguin . Tapi di aplikasi saya tidak dapet driver sm sekali dan itu sulit. udh 3kali begitu . saya dikira main2 pdhl aplikasinya yg salah,1.0
5x naik maxim sering dapat driver yang skop motor dn ban blakang motornya rusak gitu..dan driver kayak kesel dalam hati gitu. Tolong dong edukasi lagi driver. Kalau mau kerja ya kerja..jangan ngeluh mulu..banyak org yg diluar sana yg belum kerja!!! Pecat aja driver sperti itu,1.0
Sangat2 buruk sekali.... Tolong dong maxim lebih jeli dalam terima mitra ojol.. Yang benar aja satu orang punya 5 akun dengan nama yg beda2,1.0
"Percuma dikasih kembalian dari driver, gak bisa di transfer ke rekening pribadi, mau pesen makanan atau minuman kalo mau bayar pake saldo dibilang mau nipu. Update lah.",1.0
"Maps nya payah ,maps thn 1945 , bikin pusing , gimana mau maju nya ini ,",1.0
"Ngk ngerti cara pskek x,dan pesan gofood x gmn",1.0
"Ngancuri harga ongkos mobil ni aplikasi, gakada akhlak. Kek gakada artinya lagi ni mobil",1.0
"Parah sih ini aplikasi, kita pesan mobil sdah dapat driver nya trus tiba tiba ada lagi driver menelfon, mau di angkat sdah dapat driver tdk di angkat kita di bilang penipu..serba salah jadi penumpang",1.0
